GeneID	Gene	GeneAliases	GeneType	GeneDescription	Pathways	Diseases
1371	CPOX	COX|CPO|CPX|HARPO|HCP	protein-coding	coproporphyrinogen oxidase	hsa00860[Porphyrin and chlorophyll metabolism]&hsa01100[Metabolic pathways]	.
1373	CPS1	CPSASE1|PHN	protein-coding	carbamoyl-phosphate synthase 1	hsa00220[Arginine biosynthesis]&hsa00250[Alanine, aspartate and glutamate metabolism]&hsa00910[Nitrogen metabolism]&hsa01100[Metabolic pathways]&hsa01200[Carbon metabolism]&hsa01230[Biosynthesis of amino acids]	.
1374	CPT1A	CPT1|CPT1-L|L-CPT1	protein-coding	carnitine palmitoyltransferase 1A	hsa00071[Fatty acid degradation]&hsa01212[Fatty acid metabolism]&hsa03320[PPAR signaling pathway]&hsa04152[AMPK signaling pathway]&hsa04714[Thermogenesis]&hsa04920[Adipocytokine signaling pathway]&hsa04922[Glucagon signaling pathway]&hsa04931[Insulin resistance]	hsa04931[Insulin resistance]
137492	VPS37A	HCRP1|PQBP2|SPG53	protein-coding	VPS37A subunit of ESCRT-I	hsa04144[Endocytosis]	.
1375	CPT1B	CPT1-M|CPT1M|CPTI|CPTI-M|M-CPT1|MCCPT1|MCPT1	protein-coding	carnitine palmitoyltransferase 1B	hsa00071[Fatty acid degradation]&hsa01212[Fatty acid metabolism]&hsa03320[PPAR signaling pathway]&hsa04152[AMPK signaling pathway]&hsa04714[Thermogenesis]&hsa04920[Adipocytokine signaling pathway]&hsa04922[Glucagon signaling pathway]&hsa04931[Insulin resistance]	hsa04931[Insulin resistance]
1376	CPT2	CPT1|CPTASE|IIAE4	protein-coding	carnitine palmitoyltransferase 2	hsa00071[Fatty acid degradation]&hsa01212[Fatty acid metabolism]&hsa03320[PPAR signaling pathway]&hsa04714[Thermogenesis]	.
137682	NDUFAF6	C8orf38|FRTS5|MC1DN17	protein-coding	NADH:ubiquinone oxidoreductase complex assembly factor 6	hsa04714[Thermogenesis]	.
1378	CR1	C3BR|C4BR|CD35|KN	protein-coding	complement C3b/C4b receptor 1 (Knops blood group)	hsa04610[Complement and coagulation cascades]&hsa04640[Hematopoietic cell lineage]&hsa05134[Legionellosis]&hsa05140[Leishmaniasis]&hsa05144[Malaria]&hsa05152[Tuberculosis]	hsa05134[Legionellosis]&hsa05140[Leishmaniasis]&hsa05144[Malaria]&hsa05152[Tuberculosis]
1379	CR1L	.	protein-coding	complement C3b/C4b receptor 1 like	hsa04610[Complement and coagulation cascades]&hsa04640[Hematopoietic cell lineage]&hsa05134[Legionellosis]&hsa05140[Leishmaniasis]&hsa05144[Malaria]&hsa05152[Tuberculosis]	hsa05134[Legionellosis]&hsa05140[Leishmaniasis]&hsa05144[Malaria]&hsa05152[Tuberculosis]
137964	GPAT4	1-AGPAT 6|AGPAT6|LPAAT-zeta|LPAATZ|TSARG7	protein-coding	glycerol-3-phosphate acyltransferase 4	hsa00561[Glycerolipid metabolism]&hsa00564[Glycerophospholipid metabolism]&hsa01100[Metabolic pathways]	.
137970	UNC5D	PRO34692|Unc5h4	protein-coding	unc-5 netrin receptor D	hsa04360[Axon guidance]	.
1380	CR2	C3DR|CD21|CR|CVID7|SLEB9	protein-coding	complement C3d receptor 2	hsa04610[Complement and coagulation cascades]&hsa04640[Hematopoietic cell lineage]&hsa04662[B cell receptor signaling pathway]&hsa05169[Epstein-Barr virus infection]	hsa05169[Epstein-Barr virus infection]
138050	HGSNAT	HGNAT|MPS3C|RP73|TMEM76	protein-coding	heparan-alpha-glucosaminide N-acetyltransferase	hsa00531[Glycosaminoglycan degradation]&hsa01100[Metabolic pathways]&hsa04142[Lysosome]	.
138199	CARNMT1	C9orf41|UPF0586	protein-coding	carnosine N-methyltransferase 1	hsa00340[Histidine metabolism]&hsa01100[Metabolic pathways]	.
1384	CRAT	CAT|CAT1|NBIA8	protein-coding	carnitine O-acetyltransferase	hsa04146[Peroxisome]	.
138429	PIP5KL1	PIPKH	protein-coding	phosphatidylinositol-4-phosphate 5-kinase like 1	hsa00562[Inositol phosphate metabolism]&hsa01100[Metabolic pathways]&hsa04144[Endocytosis]	.
138474	TAF1L	TAF(II)210|TAF2A2	protein-coding	TATA-box binding protein associated factor 1 like	hsa03022[Basal transcription factors]	.
1385	CREB1	CREB|CREB-1	protein-coding	cAMP responsive element binding protein 1	hsa04022[cGMP-PKG signaling pathway]&hsa04024[cAMP signaling pathway]&hsa04151[PI3K-Akt signaling pathway]&hsa04152[AMPK signaling pathway]&hsa04211[Longevity regulating pathway]&hsa04261[Adrenergic signaling in cardiomyocytes]&hsa04380[Osteoclast differentiation]&hsa04612[Antigen processing and presentation]&hsa04668[TNF signaling pathway]&hsa04710[Circadian rhythm]&hsa04713[Circadian entrainment]&hsa04714[Thermogenesis]&hsa04725[Cholinergic synapse]&hsa04728[Dopaminergic synapse]&hsa04911[Insulin secretion]&hsa04915[Estrogen signaling pathway]&hsa04916[Melanogenesis]&hsa04918[Thyroid hormone synthesis]&hsa04922[Glucagon signaling pathway]&hsa04924[Renin secretion]&hsa04925[Aldosterone synthesis and secretion]&hsa04926[Relaxin signaling pathway]&hsa04927[Cortisol synthesis and secretion]&hsa04928[Parathyroid hormone synthesis, secretion and action]&hsa04931[Insulin resistance]&hsa04934[Cushing syndrome]&hsa04935[Growth hormone synthesis, secretion and action]&hsa04962[Vasopressin-regulated water reabsorption]&hsa05016[Huntington disease]&hsa05030[Cocaine addiction]&hsa05031[Amphetamine addiction]&hsa05034[Alcoholism]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05165[Human papillomavirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05203[Viral carcinogenesis]&hsa05215[Prostate cancer]	hsa04931[Insulin resistance]&hsa04934[Cushing syndrome]&hsa05016[Huntington disease]&hsa05030[Cocaine addiction]&hsa05031[Amphetamine addiction]&hsa05034[Alcoholism]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05165[Human papillomavirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05203[Viral carcinogenesis]&hsa05215[Prostate cancer]
1386	ATF2	CRE-BP1|CREB-2|CREB2|HB16|TREB7	protein-coding	activating transcription factor 2	hsa04010[MAPK signaling pathway]&hsa04022[cGMP-PKG signaling pathway]&hsa04151[PI3K-Akt signaling pathway]&hsa04211[Longevity regulating pathway]&hsa04261[Adrenergic signaling in cardiomyocytes]&hsa04668[TNF signaling pathway]&hsa04714[Thermogenesis]&hsa04728[Dopaminergic synapse]&hsa04911[Insulin secretion]&hsa04915[Estrogen signaling pathway]&hsa04918[Thyroid hormone synthesis]&hsa04922[Glucagon signaling pathway]&hsa04925[Aldosterone synthesis and secretion]&hsa04926[Relaxin signaling pathway]&hsa04927[Cortisol synthesis and secretion]&hsa04928[Parathyroid hormone synthesis, secretion and action]&hsa04934[Cushing syndrome]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05030[Cocaine addiction]&hsa05031[Amphetamine addiction]&hsa05034[Alcoholism]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05203[Viral carcinogenesis]	hsa04934[Cushing syndrome]&hsa05030[Cocaine addiction]&hsa05031[Amphetamine addiction]&hsa05034[Alcoholism]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05203[Viral carcinogenesis]
1387	CREBBP	CBP|KAT3A|MKHK1|RSTS|RSTS1	protein-coding	CREB binding protein	hsa04024[cAMP signaling pathway]&hsa04066[HIF-1 signaling pathway]&hsa04068[FoxO signaling pathway]&hsa04110[Cell cycle]&hsa04310[Wnt signaling pathway]&hsa04330[Notch signaling pathway]&hsa04350[TGF-beta signaling pathway]&hsa04520[Adherens junction]&hsa04630[Jak-STAT signaling pathway]&hsa04720[Long-term potentiation]&hsa04916[Melanogenesis]&hsa04919[Thyroid hormone signaling pathway]&hsa04922[Glucagon signaling pathway]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05016[Huntington disease]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05164[Influenza A]&hsa05165[Human papillomavirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05200[Pathways in cancer]&hsa05203[Viral carcinogenesis]&hsa05206[MicroRNAs in cancer]&hsa05211[Renal cell carcinoma]&hsa05215[Prostate cancer]	hsa05016[Huntington disease]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05164[Influenza A]&hsa05165[Human papillomavirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05200[Pathways in cancer]&hsa05203[Viral carcinogenesis]&hsa05206[MicroRNAs in cancer]&hsa05211[Renal cell carcinoma]&hsa05215[Prostate cancer]
138716	RPP25L	C9orf23|bA296L22.5	protein-coding	ribonuclease P/MRP subunit p25 like	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03013[RNA transport]	.
138799	OR13C5	OR9-11	protein-coding	olfactory receptor family 13 subfamily C member 5	hsa04740[Olfactory transduction]	.
1388	ATF6B	CREB-RP|CREBL1|G13	protein-coding	activating transcription factor 6 beta	hsa04022[cGMP-PKG signaling pathway]&hsa04141[Protein processing in endoplasmic reticulum]&hsa04151[PI3K-Akt signaling pathway]&hsa04211[Longevity regulating pathway]&hsa04261[Adrenergic signaling in cardiomyocytes]&hsa04668[TNF signaling pathway]&hsa04728[Dopaminergic synapse]&hsa04911[Insulin secretion]&hsa04915[Estrogen signaling pathway]&hsa04918[Thyroid hormone synthesis]&hsa04925[Aldosterone synthesis and secretion]&hsa04926[Relaxin signaling pathway]&hsa04927[Cortisol synthesis and secretion]&hsa04928[Parathyroid hormone synthesis, secretion and action]&hsa04934[Cushing syndrome]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05030[Cocaine addiction]&hsa05031[Amphetamine addiction]&hsa05034[Alcoholism]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05203[Viral carcinogenesis]	hsa04934[Cushing syndrome]&hsa05030[Cocaine addiction]&hsa05031[Amphetamine addiction]&hsa05034[Alcoholism]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05203[Viral carcinogenesis]
138802	OR13C8	OR37H|OR9-10	protein-coding	olfactory receptor family 13 subfamily C member 8	hsa04740[Olfactory transduction]	.
138803	OR13C3	OR37G|OR9-8	protein-coding	olfactory receptor family 13 subfamily C member 3	hsa04740[Olfactory transduction]	.
138804	OR13C4	HSHTPCRX17|HTPCRX17|OR2K1|OR37F|OR9-7	protein-coding	olfactory receptor family 13 subfamily C member 4	hsa04740[Olfactory transduction]	.
138805	OR13F1	OR9-6	protein-coding	olfactory receptor family 13 subfamily F member 1	hsa04740[Olfactory transduction]	.
138881	OR1L8	OR9-24	protein-coding	olfactory receptor family 1 subfamily L member 8	hsa04740[Olfactory transduction]	.
138882	OR1N2	OR9-23	protein-coding	olfactory receptor family 1 subfamily N member 2	hsa04740[Olfactory transduction]	.
138883	OR1N1	OR1-26|OR1N3|OR9-22	protein-coding	olfactory receptor family 1 subfamily N member 1	hsa04740[Olfactory transduction]	.
1390	CREM	CREM-2|ICER|hCREM-2	protein-coding	cAMP responsive element modulator	hsa04261[Adrenergic signaling in cardiomyocytes]	.
139189	DGKK	.	protein-coding	diacylglycerol kinase kappa	hsa00561[Glycerolipid metabolism]&hsa00564[Glycerophospholipid metabolism]&hsa01100[Metabolic pathways]&hsa04070[Phosphatidylinositol signaling system]&hsa04072[Phospholipase D signaling pathway]&hsa05231[Choline metabolism in cancer]	hsa05231[Choline metabolism in cancer]
1392	CRH	CRF|CRH1	protein-coding	corticotropin releasing hormone	hsa04080[Neuroactive ligand-receptor interaction]&hsa04730[Long-term depression]&hsa04934[Cushing syndrome]&hsa05034[Alcoholism]	hsa04934[Cushing syndrome]&hsa05034[Alcoholism]
139341	FUNDC1	.	protein-coding	FUN14 domain containing 1	hsa04137[Mitophagy - animal]	.
1394	CRHR1	CRF-R|CRF-R-1|CRF-R1|CRF1|CRFR-1|CRFR1|CRH-R-1|CRH-R1|CRHR|CRHR1L	protein-coding	corticotropin releasing hormone receptor 1	hsa04080[Neuroactive ligand-receptor interaction]&hsa04730[Long-term depression]&hsa04934[Cushing syndrome]	hsa04934[Cushing syndrome]
1395	CRHR2	CRF-RB|CRF2|CRFR2|HM-CRF	protein-coding	corticotropin releasing hormone receptor 2	hsa04080[Neuroactive ligand-receptor interaction]&hsa04934[Cushing syndrome]	hsa04934[Cushing syndrome]
139596	UPRT	FUR1|UPP	protein-coding	uracil phosphoribosyltransferase homolog	hsa00240[Pyrimidine metabolism]&hsa01100[Metabolic pathways]	.
139735	ZFP92	ZNF897	protein-coding	ZFP92 zinc finger protein	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
139760	GPR119	GPCR2	protein-coding	G protein-coupled receptor 119	hsa04024[cAMP signaling pathway]&hsa04911[Insulin secretion]	.
1398	CRK	CRKII|p38	protein-coding	CRK proto-oncogene, adaptor protein	hsa04010[MAPK signaling pathway]&hsa04012[ErbB signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04062[Chemokine signaling pathway]&hsa04510[Focal adhesion]&hsa04666[Fc gamma R-mediated phagocytosis]&hsa04722[Neurotrophin signaling pathway]&hsa04810[Regulation of actin cytoskeleton]&hsa04910[Insulin signaling pathway]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05100[Bacterial invasion of epithelial cells]&hsa05131[Shigellosis]&hsa05135[Yersinia infection]&hsa05163[Human cytomegalovirus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05206[MicroRNAs in cancer]&hsa05211[Renal cell carcinoma]&hsa05220[Chronic myeloid leukemia]	hsa05100[Bacterial invasion of epithelial cells]&hsa05131[Shigellosis]&hsa05135[Yersinia infection]&hsa05163[Human cytomegalovirus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05206[MicroRNAs in cancer]&hsa05211[Renal cell carcinoma]&hsa05220[Chronic myeloid leukemia]
139804	RBMXL3	CXorf55	protein-coding	RBMX like 3	hsa03040[Spliceosome]	.
1399	CRKL	.	protein-coding	CRK like proto-oncogene, adaptor protein	hsa04010[MAPK signaling pathway]&hsa04012[ErbB signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04062[Chemokine signaling pathway]&hsa04510[Focal adhesion]&hsa04666[Fc gamma R-mediated phagocytosis]&hsa04722[Neurotrophin signaling pathway]&hsa04810[Regulation of actin cytoskeleton]&hsa04910[Insulin signaling pathway]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05100[Bacterial invasion of epithelial cells]&hsa05131[Shigellosis]&hsa05135[Yersinia infection]&hsa05163[Human cytomegalovirus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05206[MicroRNAs in cancer]&hsa05211[Renal cell carcinoma]&hsa05220[Chronic myeloid leukemia]	hsa05100[Bacterial invasion of epithelial cells]&hsa05131[Shigellosis]&hsa05135[Yersinia infection]&hsa05163[Human cytomegalovirus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05206[MicroRNAs in cancer]&hsa05211[Renal cell carcinoma]&hsa05220[Chronic myeloid leukemia]
140	ADORA3	A3AR	protein-coding	adenosine A3 receptor	hsa04022[cGMP-PKG signaling pathway]&hsa04071[Sphingolipid signaling pathway]&hsa04080[Neuroactive ligand-receptor interaction]	.
140032	RPS4Y2	RPS4Y2P	protein-coding	ribosomal protein S4 Y-linked 2	hsa03010[Ribosome]	.
140465	MYL6B	MLC1SA	protein-coding	myosin light chain 6B	hsa04270[Vascular smooth muscle contraction]&hsa04530[Tight junction]&hsa04921[Oxytocin signaling pathway]&hsa05132[Salmonella infection]	hsa05132[Salmonella infection]
140564	APOBEC3D	A3D|APOBEC3DE|APOBEC3E|ARP6	protein-coding	apolipoprotein B mRNA editing enzyme catalytic subunit 3D	hsa05170[Human immunodeficiency virus 1 infection]	hsa05170[Human immunodeficiency virus 1 infection]
140609	NEK7	.	protein-coding	NIMA related kinase 7	hsa04621[NOD-like receptor signaling pathway]	.
140612	ZFP28	mkr5	protein-coding	ZFP28 zinc finger protein	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
140679	SLC32A1	VGAT|VIAAT	protein-coding	solute carrier family 32 member 1	hsa04721[Synaptic vesicle cycle]&hsa04723[Retrograde endocannabinoid signaling]&hsa04727[GABAergic synapse]&hsa05032[Morphine addiction]&hsa05033[Nicotine addiction]	hsa05032[Morphine addiction]&hsa05033[Nicotine addiction]
1407	CRY1	DSPD|PHLL1	protein-coding	cryptochrome circadian regulator 1	hsa04710[Circadian rhythm]	.
140735	DYNLL2	DNCL1B|Dlc2|RSPH22	protein-coding	dynein light chain LC8-type 2	hsa04962[Vasopressin-regulated water reabsorption]&hsa05132[Salmonella infection]	hsa05132[Salmonella infection]
140739	UBE2F	NCE2	protein-coding	ubiquitin conjugating enzyme E2 F (putative)	hsa04120[Ubiquitin mediated proteolysis]	.
140775	SMCR8	DENND8A	protein-coding	SMCR8-C9orf72 complex subunit	hsa04140[Autophagy - animal]	.
1408	CRY2	HCRY2|PHLL2	protein-coding	cryptochrome circadian regulator 2	hsa04710[Circadian rhythm]	.
140801	RPL10L	RPL10_5_1358	protein-coding	ribosomal protein L10 like	hsa03010[Ribosome]	.
140803	TRPM6	CHAK2|HMGX|HOMG|HOMG1|HSH	protein-coding	transient receptor potential cation channel subfamily M member 6	hsa04978[Mineral absorption]	.
140838	NANP	C20orf147|HDHD4|dJ694B14.3	protein-coding	N-acetylneuraminic acid phosphatase	hsa00520[Amino sugar and nucleotide sugar metabolism]&hsa01100[Metabolic pathways]	.
140885	SIRPA	BIT|CD172A|MFR|MYD-1|P84|PTPNS1|SHPS1|SIRP	protein-coding	signal regulatory protein alpha	hsa04380[Osteoclast differentiation]	.
140886	PABPC5	PABP5	protein-coding	poly(A) binding protein cytoplasmic 5	hsa03013[RNA transport]&hsa03015[mRNA surveillance pathway]&hsa03018[RNA degradation]	.
1409	CRYAA	CRYA1|CTRCT9|HSPB4	protein-coding	crystallin alpha A	hsa04141[Protein processing in endoplasmic reticulum]	.
1410	CRYAB	CMD1II|CRYA2|CTPP2|CTRCT16|HEL-S-101|HSPB5|MFM2	protein-coding	crystallin alpha B	hsa04141[Protein processing in endoplasmic reticulum]&hsa04213[Longevity regulating pathway - multiple species]	.
142	PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	protein-coding	poly(ADP-ribose) polymerase 1	hsa03410[Base excision repair]&hsa04064[NF-kappa B signaling pathway]&hsa04210[Apoptosis]&hsa04217[Necroptosis]	.
142680	SLC34A3	HHRH|NPTIIc	protein-coding	solute carrier family 34 member 3	hsa04928[Parathyroid hormone synthesis, secretion and action]&hsa04978[Mineral absorption]	.
142827	ACSM6	C10orf129|bA310E22.3	protein-coding	acyl-CoA synthetase medium chain family member 6	hsa00650[Butanoate metabolism]&hsa01100[Metabolic pathways]	.
143	PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	protein-coding	poly(ADP-ribose) polymerase family member 4	hsa03410[Base excision repair]&hsa04210[Apoptosis]	.
1431	CS	.	protein-coding	citrate synthase	hsa00020[Citrate cycle (TCA cycle)]&hsa00630[Glyoxylate and dicarboxylate metabolism]&hsa01100[Metabolic pathways]&hsa01200[Carbon metabolism]&hsa01210[2-Oxocarboxylic acid metabolism]&hsa01230[Biosynthesis of amino acids]	.
143187	VTI1A	MMDS3|MVti1|VTI1RP2|Vti1-rp2	protein-coding	vesicle transport through interaction with t-SNAREs 1A	hsa04130[SNARE interactions in vesicular transport]	.
1432	MAPK14	CSBP|CSBP1|CSBP2|CSPB1|EXIP|Mxi2|PRKM14|PRKM15|RK|SAPK2A|p38|p38ALPHA	protein-coding	mitogen-activated protein kinase 14	hsa01522[Endocrine resistance]&hsa04010[MAPK signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04068[FoxO signaling pathway]&hsa04071[Sphingolipid signaling pathway]&hsa04114[Oocyte meiosis]&hsa04218[Cellular senescence]&hsa04261[Adrenergic signaling in cardiomyocytes]&hsa04370[VEGF signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04550[Signaling pathways regulating pluripotency of stem cells]&hsa04611[Platelet activation]&hsa04620[Toll-like receptor signaling pathway]&hsa04621[NOD-like receptor signaling pathway]&hsa04622[RIG-I-like receptor signaling pathway]&hsa04625[C-type lectin receptor signaling pathway]&hsa04657[IL-17 signaling pathway]&hsa04658[Th1 and Th2 cell differentiation]&hsa04659[Th17 cell differentiation]&hsa04660[T cell receptor signaling pathway]&hsa04664[Fc epsilon RI signaling pathway]&hsa04668[TNF signaling pathway]&hsa04670[Leukocyte transendothelial migration]&hsa04714[Thermogenesis]&hsa04722[Neurotrophin signaling pathway]&hsa04723[Retrograde endocannabinoid signaling]&hsa04728[Dopaminergic synapse]&hsa04750[Inflammatory mediator regulation of TRP channels]&hsa04912[GnRH signaling pathway]&hsa04914[Progesterone-mediated oocyte maturation]&hsa04917[Prolactin signaling pathway]&hsa04926[Relaxin signaling pathway]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05014[Amyotrophic lateral sclerosis (ALS)]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05140[Leishmaniasis]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05205[Proteoglycans in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]&hsa05418[Fluid shear stress and atherosclerosis]	hsa01522[Endocrine resistance]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa05014[Amyotrophic lateral sclerosis (ALS)]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05140[Leishmaniasis]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05205[Proteoglycans in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]&hsa05418[Fluid shear stress and atherosclerosis]
1434	CSE1L	CAS|CSE1|XPO2	protein-coding	chromosome segregation 1 like	hsa05132[Salmonella infection]	hsa05132[Salmonella infection]
143471	PSMA8	PSMA7L	protein-coding	proteasome 20S subunit alpha 8	hsa03050[Proteasome]&hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]&hsa05017[Spinocerebellar ataxia]	hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]&hsa05017[Spinocerebellar ataxia]
143496	OR52B4	OR11-3	protein-coding	olfactory receptor family 52 subfamily B member 4	hsa04740[Olfactory transduction]	.
1435	CSF1	CSF-1|MCSF	protein-coding	colony stimulating factor 1	hsa04010[MAPK signaling pathway]&hsa04014[Ras signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04060[Cytokine-cytokine receptor interaction]&hsa04061[Viral protein interaction with cytokine and cytokine receptor]&hsa04151[PI3K-Akt signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04640[Hematopoietic cell lineage]&hsa04668[TNF signaling pathway]&hsa05010[Alzheimer disease]&hsa05323[Rheumatoid arthritis]	hsa05010[Alzheimer disease]&hsa05323[Rheumatoid arthritis]
143502	OR52I2	OR11-12|OR52I1	protein-coding	olfactory receptor family 52 subfamily I member 2	hsa04740[Olfactory transduction]	.
143503	OR51E1	D-GPCR|DGPCR|GPR136|GPR164|OR51E1P|OR52A3P|POGR|PSGR2	protein-coding	olfactory receptor family 51 subfamily E member 1	hsa04740[Olfactory transduction]	.
1436	CSF1R	BANDDOS|C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	protein-coding	colony stimulating factor 1 receptor	hsa04010[MAPK signaling pathway]&hsa04014[Ras signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04060[Cytokine-cytokine receptor interaction]&hsa04061[Viral protein interaction with cytokine and cytokine receptor]&hsa04151[PI3K-Akt signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04640[Hematopoietic cell lineage]&hsa05200[Pathways in cancer]&hsa05202[Transcriptional misregulation in cancer]&hsa05221[Acute myeloid leukemia]	hsa05200[Pathways in cancer]&hsa05202[Transcriptional misregulation in cancer]&hsa05221[Acute myeloid leukemia]
143686	SESN3	SEST3	protein-coding	sestrin 3	hsa04115[p53 signaling pathway]&hsa04211[Longevity regulating pathway]	.
1437	CSF2	CSF|GMCSF	protein-coding	colony stimulating factor 2	hsa04060[Cytokine-cytokine receptor interaction]&hsa04630[Jak-STAT signaling pathway]&hsa04640[Hematopoietic cell lineage]&hsa04650[Natural killer cell mediated cytotoxicity]&hsa04657[IL-17 signaling pathway]&hsa04660[T cell receptor signaling pathway]&hsa04664[Fc epsilon RI signaling pathway]&hsa04668[TNF signaling pathway]&hsa05131[Shigellosis]&hsa05146[Amoebiasis]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05202[Transcriptional misregulation in cancer]&hsa05221[Acute myeloid leukemia]&hsa05323[Rheumatoid arthritis]	hsa05131[Shigellosis]&hsa05146[Amoebiasis]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05202[Transcriptional misregulation in cancer]&hsa05221[Acute myeloid leukemia]&hsa05323[Rheumatoid arthritis]
1438	CSF2RA	CD116|CDw116|CSF2R|CSF2RAX|CSF2RAY|CSF2RX|CSF2RY|GM-CSF-R-alpha|GMCSFR|GMCSFR-alpha|GMR|GMR-alpha|SMDP4|alphaGMR	protein-coding	colony stimulating factor 2 receptor subunit alpha	hsa04060[Cytokine-cytokine receptor interaction]&hsa04630[Jak-STAT signaling pathway]&hsa04640[Hematopoietic cell lineage]&hsa05200[Pathways in cancer]	hsa05200[Pathways in cancer]
1439	CSF2RB	CD131|CDw131|IL3RB|IL5RB|SMDP5|betaGMR	protein-coding	colony stimulating factor 2 receptor subunit beta	hsa04060[Cytokine-cytokine receptor interaction]&hsa04210[Apoptosis]&hsa04630[Jak-STAT signaling pathway]&hsa05200[Pathways in cancer]	hsa05200[Pathways in cancer]
